id,name,is_natural,region_id,winery_id,ratings_average,ratings_count,url,acidity,fizziness,intensity,sweetness,tannin,user_structure_count
10022,La Joie,0,26,636,4.6,2285,https://www.vanoudsdezwaan.nl/verite-la-joie-2014-114380979.html,3.8834448,,4.6995435,1.6734424,3.975856,20.0
10023,Le Désir,0,26,636,4.5,1694,https://www.vanoudsdezwaan.nl/verite-le-desir-2014-114380977.html,3.8459346,,4.750483,1.4755096,3.9275227,19.0
10151,Brunello di Montalcino,0,1796,1269,4.4,9171,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2001584,3.8421304,,3.1612687,1.5376806,3.425511,322.0
10152,Altero Brunello di Montalcino,0,1796,1269,4.4,4620,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2001599,3.8212059,,3.266036,1.5881945,3.517492,182.0
10154,Brunello di Montalcino Riserva,0,1796,1269,4.5,1875,https://www.topwijnen.be/nl/product/wijnen/italie/toscane/brunello-di-montalcino/wn6000510/wn6000510,3.8509295,,3.242533,1.5460424,3.4976366,44.0
10175,Saint-Émilion Grand Cru (Premier Grand Cru Classé),0,827,1344,4.6,22896,https://www.grandcruwijnen.nl/2018-chateau-angelus-1e-grand-cru-classe-saint-emilion,3.382386,,4.196221,1.7933086,3.5282295,1064.0
10196,The Stork,0,533,4620,4.5,1638,https://www.wereldwijnonline.be/hartenberg-the-stork-shiraz-2015-stellen-108841360.html,3.364303,,4.259369,1.9320465,3.072115,104.0
10922,Hermitage La Chapelle Rouge,0,535,1387,4.3,15298,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=70JAHC06B,3.4834516,,4.6211514,1.6923082,3.999296,137.0
11001,Castillo Ygay Gran Reserva Especial Tinto,0,492,1864,4.5,23170,https://www.wijnig.nl/marques-de-murrieta-castillo-ygay-gran-reserva-esp.html,3.7596183,,3.8668091,1.7798774,3.7520678,1918.0
11038,Puligny-Montrachet Enseignères,0,2248,1567,4.3,941,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=50OLPME19M,3.35,,3.7744682,1.5323689,,43.0
11604,Malleolus,0,405,1757,4.3,34630,https://www.grandcruwijnen.nl/2020-emilio-moro-malleolus,3.6814659,,3.9343438,1.8257612,3.5076983,3137.0
11607,Malleolus de Sanchomartin,0,405,1757,4.6,3655,https://www.grandcruwijnen.nl/2019-emilio-moro-malleolus-sancho-martin,3.7755213,,3.9330792,1.8495954,3.6502056,368.0
11665,Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,0,3237,2727,4.3,4229,https://www.wijnig.nl/tedeschi-capitel-monte-olmi-amarone-della-valpolic.html,2.4235454,,4.7854996,3.2542012,2.4783933,137.0
11733,Toscana I Sodi di San Niccolo,0,394,3023,4.4,8853,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10CCSO17M,3.2615259,,3.3590717,1.7892258,3.0631628,723.0
11890,60 Sessantanni Old Vines Primitivo di Manduria,0,2753,55648,4.5,94289,https://www.wijnig.nl/san-marzano-60-sessantanni-old-vines-pri-142454080.html,1.789258,,4.082944,3.1701102,2.2129438,2765.0
12008,Falletto Barolo,0,504,1347,4.4,1760,https://www.seulementproduitsitaliens.be/vino/bruno-giacosa/21995-bruno-giacosa-falletto-barolo-.html?codice=PRN9485,4.714246,,3.6696281,1.6808933,4.298659,98.0
12085,Campo dei Gigli Amarone della Valpolicella,0,1804,3109,4.4,5050,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=20TESACG12B,2.252263,,4.7620506,3.2375097,2.3940825,189.0
12262,Ribera del Duero Prestigio,0,405,5450,4.4,2994,https://www.vanoudsdezwaan.nl/ribera-del-duero-prestigio-2016.html,3.6664393,,3.985012,2.0192058,3.439635,277.0
12263,Ribera del Duero Reserva,0,405,5450,4.3,37394,https://www.vanoudsdezwaan.nl/ribera-del-duero-reserva-2017.html,3.6510444,,3.9710884,1.9142109,3.5788078,3222.0
12393,Amarone della Valpolicella Classico,0,3237,1583,4.4,48329,https://www.vanoudsdezwaan.nl/amarone-della-valpolicella-2018.html,2.213149,,4.8005404,3.3462367,2.2455263,1356.0
13759,Clos Apalta,0,4670,290161,4.6,23256,https://www.wijnig.nl/clos-apalta-clos-apalta-2017.html,3.067916,,4.7015944,1.8053383,3.546138,771.0
13904,Barolo Rocche,0,504,2259,4.4,1615,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2202397,4.443262,,3.7750337,1.7726882,4.192189,77.0
13969,Montepulciano d'Abruzzo,1,2734,2636,4.2,10110,https://www.wijnkooperijdelange.nl/Montepulciano-d-Abruzzo/915D0083,3.902051,,2.8639016,1.6370007,3.0102289,213.0
13978,Brunello di Montalcino Riserva,0,1796,3948,4.4,987,https://www.vino.com/fr/dettaglio/brunello-di-montalcino-riserva-castello-romitorio-2016.html?utm_medium=aggregatore&utm_source=vivino&utm_term=romitoriobrunellodimontalcinoriserva2016&utm_country=be&st=be&cr=eur,3.904977,,3.1936371,1.5762314,3.6321075,39.0
14362,Pauillac (Grand Cru Classé),0,393,1309,4.4,47234,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60POC19B,4.201068,,4.22026,1.6716634,4.230456,2188.0
14513,Saint-Emilion Grand Cru (Premier Grand Cru Classé),0,827,194229,4.4,1986,https://www.topwijnen.be/nl/product/wijnen/frankrijk/bordeaux/saint-emilion/saint-emilion-premier-gr-cru-classe-b/chateau-la-mondotte/wn1023104/wn1023104,3.3021338,,4.27334,2.0122817,3.50596,101.0
14604,Les Bessards Hermitage,0,535,7636,4.4,1515,https://www.wijnig.nl/delas-les-bessards-hermitage-2019.html,3.4622538,,4.800017,1.6643351,4.0391316,13.0
14882,Félix Callejo (Viñedos de la Familia),0,405,2987,4.3,1341,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/callejo/28146-callejo-felix-callejo-(vinedos-de-la-familia).html?codice=PLG1714-2016,3.7628725,,3.8911045,1.9716685,3.7325103,131.0
15149,Bricco dell'Uccellone Barbera d'Asti,0,1829,2381,4.3,17625,https://www.seulementproduitsitaliens.be/vino/braida/228-braida-bricco-delluccellone-barbera-dasti.html?codice=BRD001-2019,3.8818424,,3.726445,1.8737041,2.405632,604.0
15182,Vürsù Barbaresco Starderi,0,722,1447,4.4,4414,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2202703,4.747835,,3.9129653,1.6145903,4.2625036,151.0
15184,Vürsù Barbaresco Valeirano,0,722,1447,4.4,3263,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2203646,4.6811347,,3.912786,1.6161648,4.1729035,121.0
15617,Blanc de Blancs Brut Champagne Grand Cru,0,4638,1518,4.4,5553,https://www.grandcruwijnen.nl/champagne-billecart-salmon-blanc-de-blancs-grand-cru,4.291068,4.291068,3.7910678,,,746.0
16220,Series C,0,557,4108,4.5,3027,https://joyvino.be/products/vilafonte-series-c-2007,3.6215973,,3.998238,1.7896918,3.3559442,182.0
16221,Series M,0,557,4108,4.4,2995,https://joyvino.be/products/vilafonte-series-m-2014,3.6752222,,3.9073677,1.752683,3.2512286,170.0
16414,Paleo Rosso,0,394,7654,4.4,10940,https://www.wijnig.nl/le-macchiole-paleo-2018.html,3.181494,,3.6193135,1.8423529,3.2685294,1100.0
16418,Messorio,0,394,7654,4.5,5514,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10LMME07B,3.0969987,,3.5081158,1.9021307,3.0368488,583.0
16419,Scrio,0,394,7654,4.3,2322,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=10LMSC08B,3.1090095,,3.4650319,1.7177784,2.986092,235.0
16504,Malbec,0,454,4009,4.2,33640,https://www.wereldwijnonline.be/malbec-2014-mendoza-argentini-rode-wijn.html,2.717778,,3.8502533,2.1518486,2.6998742,3716.0
16527,Montrachet Grand Cru Blanc,0,3041,7658,4.5,700,https://www.wijnig.nl/domaine-jacques-prieur-montrachet-grand-cru-blanc.html,3.220548,,3.8301463,1.7792037,,45.0
16529,Musigny Grand Cru,0,2217,7658,4.6,739,https://www.wijnig.nl/domaine-jacques-prieur-musigny-grand-cru-2015.html,4.298304,,3.080363,2.04695,2.7951787,55.0
16541,Clos Saint Denis Grand Cru,0,2214,1788,4.4,474,https://www.seulementproduitsitaliens.be/eccellenze_internazionali/domaine-bertagna/24802-domaine-bertagna-clos-saint-denis-grand-cru.html?codice=PLG1013-2020,4.1495495,,3.2234502,2.0073063,2.5575855,42.0
16578,Cabernet Sauvignon,0,25,1296,4.4,28544,https://www.grandcruwijnen.nl/2018-joseph-phelps-cabernet-sauvignon-napa-valley,3.3340175,,4.709039,1.6904904,3.3714912,1691.0
16587,Insignia,0,25,1296,4.6,30674,https://www.grandcruwijnen.nl/2019-joseph-phelps-insignia,3.8176463,,4.761486,1.7427489,3.4895406,741.0
16637,Barolo Sorì Ginestra,0,504,1538,4.3,4827,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2200103,4.607528,,3.8768318,1.4964424,4.4165354,308.0
16639,Barolo Ginestra Vigna del Gris,0,504,1538,4.3,3333,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2202452,4.6171455,,3.877882,1.5149696,4.4271502,156.0
16778,Saint-Émilion Grand Cru (Premier Grand Cru Classé),0,827,6234,4.4,24916,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60FIG14B,3.3902686,,4.1043267,1.6458696,3.4461513,1130.0
16786,Barsac (Premier Grand Cru Classé),0,2141,1425,4.4,6028,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICEWT=60CLIM48B,4.358521,,4.690008,4.906155,,147.0
16833,Galatrona,0,394,1833,4.3,7971,https://www.wijnig.nl/galatrona-2018.html,3.112219,,3.493791,1.8441745,3.055552,846.0
17474,Brunello di Montalcino,0,1796,7703,4.3,7929,https://www.seulementproduitsitaliens.be/spec_collezioni.php?CODICE=2002162,3.8106313,,3.2212718,1.6867871,3.5761602,338.0
17656,Pessac-Léognan (Grand Cru Classé de Graves),0,471,1340,4.3,25444,https://www.grandcruwijnen.nl/2019-chateau-smith-haut-lafitte-grand-cru-classe-de-graves,4.2328806,,4.2435613,1.6600603,4.2683516,625.0
17943,Chloe Chardonnay,0,94,1370,4.5,458,https://www.grandcruwijnen.nl/2020-dumol-chloe-russian-river-valley-vineyard-chardonnay,3.1829827,,4.6397653,2.8832428,,17.0
17948,Finn Pinot Noir,0,94,1370,4.5,331,https://www.grandcruwijnen.nl/2019-dumol-pinot-noir-finn,3.3614087,,2.9755993,1.6306587,2.0485728,30.0
18014,Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,0,401,1843,4.4,2077,https://www.baetenvinopolis.be/nl/shop/frankrijk/cotes-du-rhone/chateau-de-la-gardine/rood/chateau-de-la-gardine-gaston-philippe,3.1158712,,4.751279,1.7966875,3.0934217,58.0
18017,Châteauneuf-du-Pape,0,401,1843,4.2,13917,https://www.grandcruwijnen.nl/2020-chateau-de-la-gardine-chateauneuf-du-pape-rouge,3.0795522,,4.657584,1.5521207,2.8783433,316.0
